frames=17648
samplerate=44100, outrate=32768
channels=2
num_items=35296
Read 35296 items
idx = 301	 inval = -2040987648	 outidx = 112	 outval = -60
idx = 304	 inval = -2073493504	 outidx = 113	 outval = -61
idx = 306	 inval = -2081095680	 outidx = 114	 outval = -62
idx = 309	 inval = -2085748736	 outidx = 115	 outval = -62
idx = 312	 inval = -2090008576	 outidx = 116	 outval = -62
idx = 314	 inval = -2090991616	 outidx = 117	 outval = -62
idx = 317	 inval = -2091450368	 outidx = 118	 outval = -62
idx = 320	 inval = -2091843584	 outidx = 119	 outval = -62
idx = 325	 inval = -2091581440	 outidx = 121	 outval = -62
idx = 328	 inval = -2091188224	 outidx = 122	 outval = -62
idx = 331	 inval = -2090926080	 outidx = 123	 outval = -62
idx = 333	 inval = -2090598400	 outidx = 124	 outval = -62
idx = 336	 inval = -2090139648	 outidx = 125	 outval = -62
idx = 339	 inval = -2089877504	 outidx = 126	 outval = -62
idx = 341	 inval = -2089680896	 outidx = 127	 outval = -62
idx = 344	 inval = -2089156608	 outidx = 128	 outval = -62
idx = 347	 inval = -2088960000	 outidx = 129	 outval = -62
idx = 349	 inval = -2088763392	 outidx = 130	 outval = -62
idx = 355	 inval = -2088108032	 outidx = 132	 outval = -62
idx = 357	 inval = -2087845888	 outidx = 133	 outval = -62
idx = 360	 inval = -2087452672	 outidx = 134	 outval = -62
idx = 363	 inval = -2087190528	 outidx = 135	 outval = -62
idx = 366	 inval = -2086731776	 outidx = 136	 outval = -62
idx = 368	 inval = -427753472	 outidx = 137	 outval = -12
idx = 371	 inval = -1145569280	 outidx = 138	 outval = -34
idx = 374	 inval = -1722875904	 outidx = 139	 outval = -51
idx = 376	 inval = -1860894720	 outidx = 140	 outval = -55
idx = 379	 inval = -1946222592	 outidx = 141	 outval = -58
idx = 384	 inval = -2051538944	 outidx = 143	 outval = -61
idx = 387	 inval = -2063925248	 outidx = 144	 outval = -61
idx = 390	 inval = -2076049408	 outidx = 145	 outval = -61
idx = 392	 inval = -2078801920	 outidx = 146	 outval = -61
idx = 395	 inval = -2080374784	 outidx = 147	 outval = -62
idx = 398	 inval = -2081685504	 outidx = 148	 outval = -62
idx = 401	 inval = -2081947648	 outidx = 149	 outval = -62
idx = 403	 inval = -2082013184	 outidx = 150	 outval = -62
idx = 406	 inval = -2081816576	 outidx = 151	 outval = -62
idx = 409	 inval = -2081619968	 outidx = 152	 outval = -62
idx = 414	 inval = -2080899072	 outidx = 154	 outval = -62
idx = 417	 inval = -2080636928	 outidx = 155	 outval = -62
